DATE,PCECC96,WILL5000IND,GDPDEF,TB3MS
1991-04-01,6021.163,9.8000000000000000,65.587,5.5600000000000000
1991-07-01,6051.184,10.0715625000000000,66.099,5.3766666666666667
1991-10-01,6048.156,10.2960937500000000,66.492,4.5400000000000000
1992-01-01,6161.398,11.1855555555555556,66.739,3.8933333333333333
1992-04-01,6203.224,11.0423809523809524,67.14,3.6800000000000000
1992-07-01,6269.718,11.2476562500000000,67.468,3.0833333333333333
1992-10-01,6344.446,11.6329687500000000,67.932,3.0700000000000000
1993-01-01,6368.772,12.3564516129032258,68.313,2.9600000000000000
1993-04-01,6426.703,12.4982539682539683,68.719,2.9666666666666667
1993-07-01,6498.229,12.9440625000000000,69.128,3.0033333333333333
1993-10-01,6555.274,13.3606250000000000,69.505,3.0600000000000000
1994-01-01,6630.253,13.6274603174603175,69.837,3.2433333333333333
1994-04-01,6681.841,13.1050000000000000,70.174,3.9866666666666667
1994-07-01,6732.791,13.4309375000000000,70.577,4.4766666666666667
1994-10-01,6805.581,13.4652380952380952,70.96,5.2800000000000000
1995-01-01,6822.519,14.1049206349206349,71.344,5.7366666666666667
1995-04-01,6882.33,15.3914285714285714,71.687,5.5966666666666667
1995-07-01,6944.7,16.8819047619047619,72.04,5.3666666666666667
1995-10-01,6993.144,17.8179365079365079,72.387,5.2600000000000000
1996-01-01,7057.641,18.9865079365079365,72.736,4.9300000000000000
1996-04-01,7133.566,20.0301587301587302,73.037,5.0200000000000000
1996-07-01,7176.754,19.9118750000000000,73.276,5.0966666666666667
1996-10-01,7233.918,21.7812500000000000,73.668,4.9766666666666667
1997-01-01,7310.17,23.3929508196721311,74.107,5.0600000000000000
1997-04-01,7343.08,24.3059375000000000,74.257,5.0466666666666667
1997-07-01,7468.188,27.8165625000000000,74.579,5.0466666666666667
1997-10-01,7557.449,28.7829687500000000,74.824,5.0900000000000000
1998-01-01,7633.895,30.7845901639344262,74.933,5.0533333333333333
1998-04-01,7768.323,33.2820634920634921,75.11,4.9766666666666667
1998-07-01,7869.624,31.9298437500000000,75.433,4.8233333333333333
1998-10-01,7983.316,32.6240625000000000,75.641,4.2533333333333333
1999-01-01,8060.776,36.8544262295081967,75.926,4.4066666666666667
1999-04-01,8178.302,39.0542857142857143,76.201,4.4533333333333333
1999-07-01,8270.609,39.4329687500000000,76.462,4.6500000000000000
1999-10-01,8391.791,40.9742187500000000,76.873,5.0433333333333333
2000-01-01,8520.71,44.3539682539682540,77.396,5.5200000000000000
2000-04-01,8603.007,43.6600000000000000,77.865,5.7133333333333333
2000-07-01,8687.485,45.0476190476190476,78.309,6.0166666666666667
2000-10-01,8762.205,41.3096825396825397,78.723,6.0166666666666667
2001-01-01,8797.28,38.3866129032258065,79.204,4.8166666666666667
2001-04-01,8818.079,37.3630158730158730,79.683,3.6600000000000000
2001-07-01,8848.3,35.1472881355932203,80.004,3.1700000000000000
2001-10-01,8980.61,34.0275000000000000,80.268,1.9066666666666667
